ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State,Marital Status ,Consolidated Educational Level,
2873,213734,0,0,75,0,0,1,0,0,0,0,0,1,State-California,Single,PhD,
1629,205471,0,0,50,0,0,0,1,0,0,1,0,0,State-Texas,Together,Graduate,
1239,202692,0,0,46,1,0,0,0,0,0,1,0,0,State-Texas,Divorced,Graduate,
1191,202160,0,0,43,0,0,0,1,0,0,0,0,1,State-Texas,Together,PhD,
1116,201970,0,0,37,0,0,1,0,0,0,1,0,0,State-Florida,Single,Graduate,
1633,198777,0,0,60,0,0,1,0,0,0,0,1,0,State-Illinois,Single,Master,
2094,198777,0,0,60,0,0,1,0,0,0,0,1,0,State-Florida,Single,Master,
2987,196876,0,0,43,0,0,0,1,0,0,1,0,0,State-California,Together,Graduate,0.44
2933,196843,0,0,30,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
2970,196547,0,0,40,0,1,0,0,0,0,0,0,0,State-Florida,Married,Unknown,
1895,195529,0,0,26,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
1982,195169,0,0,33,0,0,1,0,0,0,0,0,1,State-New York,Single,PhD,
2449,194871,0,2,51,0,1,0,0,0,0,0,0,1,State-Illinois,Married,PhD,
2957,194642,0,0,69,0,1,0,0,0,0,1,0,0,State-California,Married,Graduate,
2968,194472,0,1,62,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
1924,194384,0,0,67,0,0,0,1,0,0,1,0,0,State-Other,Together,Graduate,
2281,194384,0,0,67,0,0,0,1,0,0,1,0,0,State-Illinois,Together,Graduate,
2434,193790,0,0,50,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
1807,193404,1,2,66,0,1,0,0,0,0,1,0,0,State-Illinois,Married,Graduate,
1408,193027,0,0,79,0,1,0,0,0,0,0,0,1,State-Other,Married,PhD,
1947,192955,0,0,47,0,1,0,0,0,0,1,0,0,State-Texas,Married,Graduate,
1410,192910,0,0,34,0,1,0,0,0,0,1,0,0,State-Florida,Married,Graduate,
1130,192859,0,0,28,0,0,1,0,0,0,0,1,0,State-New York,Single,Master,
2885,192556,0,0,60,0,0,0,1,0,0,0,0,0,State-California,Together,Unknown,
2408,192533,0,0,35,0,1,0,0,0,0,1,0,0,State-New York,Married,Graduate,
2696,192491,0,0,37,0,1,0,0,0,0,0,0,1,State-New York,Married,PhD,
2362,192344,0,0,72,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
1575,192163,0,0,45,0,1,0,0,0,0,0,1,0,State-Texas,Married,Master,
1795,191820,0,0,34,0,0,0,1,0,0,0,0,1,State-Illinois,Together,PhD,
2967,191712,0,0,73,0,0,1,0,0,0,0,1,0,State-Texas,Single,Master,
2012,191700,0,0,49,0,0,1,0,0,0,1,0,0,State-New York,Single,Graduate,
2897,191249,0,0,64,0,0,1,0,0,0,1,0,0,State-California,Single,Graduate,
3135,191172,0,0,30,0,0,1,0,0,0,0,1,0,State-Texas,Single,Master,
1402,191065,0,0,39,0,0,1,0,0,0,1,0,0,State-Other,Single,Graduate,
2872,190933,0,0,66,0,0,1,0,0,0,0,0,1,State-Other,Single,PhD,
2313,190842,0,0,72,0,0,1,0,0,0,1,0,0,State-Texas,Single,Graduate,
1108,190765,0,0,50,0,1,0,0,0,0,1,0,0,State-Other,Married,Graduate,
